200 14834
30 1 32
30 2 33
30 6 37
30 9 40
30 10 41
30 12 43
30 13 44
30 14 45
30 15 46
30 20 1
30 22 3
30 24 5
30 27 8
30 28 9
30 29 10
31 1 33
31 3 35
31 4 36
31 5 37
31 6 38
31 9 41
31 10 42
31 11 43
31 12 44
31 13 45
31 14 46
31 15 47
31 16 48
31 18 50
31 19 1
31 20 2
31 21 3
31 23 5
31 24 6
31 25 7
31 26 8
31 27 9
31 28 10
31 30 12
32 1 34
32 2 35
32 3 36
32 4 37
32 5 38
32 6 39
32 8 41
32 9 42
32 10 43
32 11 44
32 12 45
32 13 46
32 14 47
32 17 50
32 18 1
32 19 2
32 20 3
32 21 4
32 22 5
32 24 7
32 25 8
32 26 9
32 27 10
32 28 11
32 29 12
32 31 14
33 2 36
33 3 37
33 4 38
33 5 39
33 6 40
33 7 41
33 8 42
33 9 43
33 10 44
33 11 45
33 12 46
33 13 47
33 14 48
33 15 49
33 16 50
33 17 1
33 18 2
33 19 3
33 20 4
33 22 6
33 23 7
33 24 8
33 27 11
33 28 12
33 29 13
33 30 14
33 31 15
33 32 16
34 1 36
34 2 37
34 3 38
34 4 39
34 7 42
34 8 43
34 10 45
34 13 48
34 15 50
34 18 3
34 20 5
34 22 7
34 23 8
34 24 9
34 27 12
34 28 13
34 32 17
34 33 18
35 1 37
35 2 38
35 3 39
35 6 42
35 7 43
35 8 44
35 9 45
35 10 46
35 12 48
35 14 50
35 15 1
35 17 3
35 18 4
35 19 5
35 20 6
35 22 8
35 23 9
35 24 10
35 27 13
35 28 14
35 29 15
35 30 16
35 31 17
35 32 18
35 33 19
35 34 20
36 1 38
36 3 40
36 4 41
36 7 44
36 8 45
36 10 47
36 13 50
36 14 1
36 15 2
36 16 3
36 17 4
36 18 5
36 19 6
36 20 7
36 22 9
36 1 1
36 57 -1
36 50 -5
36 61 9
36 8 9
36 13 4
36 6 4
36 5 10
36 65 -8
37 25 -9
37 7 7
37 15 9
37 60 2
38 29 -3
38 34 -2
38 24 9
38 49 6
38 21 -4
38 11 0
39 63 8
39 34 3
39 9 9
40 34 8
40 18 -4
40 63 -6
40 52 -3
40 6 10
41 33 8
41 42 -6
41 49 -10
41 54 -5
41 29 0
41 65 -3
41 23 -1
42 59 1
42 49 -2
42 48 4
42 27 7
42 9 0
42 32 -3
42 1 -10
42 8 10
43 18 -8
43 7 6
43 54 8
43 58 3
43 17 8
43 22 -10
43 10 3
44 60 -4
44 51 -7
44 20 1
44 19 2
44 63 -4
45 65 -5
45 60 8
45 3 -7
45 11 -8
45 38 -10
45 40 -10
45 8 -3
45 33 -3
45 13 4
45 61 -6
45 39 7
45 14 6
46 33 5
46 43 10
46 37 -8
46 12 -7
46 14 -7
46 16 -1
46 31 -2
46 27 0
46 21 -4
46 49 -10
46 59 1
47 1 6
47 58 7
47 25 5
47 38 8
48 26 2
48 33 4
48 63 -6
48 21 -7
48 34 2
49 35 3
49 36 10
49 30 -4
49 25 -4
49 62 -10
50 19 2
50 7 -7
50 65 -1
50 57 9
50 12 -9
50 23 -6
50 22 -7
50 10 5
50 44 -9
50 58 -6
51 11 -6
51 28 9
51 13 -2
51 20 -7
51 32 7
51 52 -6
51 63 10
51 67 -2
51 18 0
51 10 -4
52 60 2
52 24 8
52 50 1
52 48 -7
52 15 -7
52 13 -7
53 20 0
53 49 0
53 33 -10
53 54 7
53 15 -5
53 11 -5
54 33 -5
54 31 6
54 43 10
54 24 0
54 22 -8
55 51 -2
55 61 -3
56 63 4
56 52 0
57 45 3
57 2 4
57 31 4
57 63 9
58 2 10
58 38 4
58 11 -9
58 34 6
58 40 1
59 51 8
59 63 4
59 3 9
59 11 -2
59 34 1
59 39 -2
59 40 -8
59 44 -3
60 10 -8
60 25 2
60 19 -10
60 36 -2
61 9 2
61 12 9
61 40 -3
61 24 -4
62 61 0
62 22 -2
62 64 -4
62 10 4
62 59 5
62 21 5
63 52 -6
63 20 -4
63 19 -9
63 24 -10
63 11 -8
63 57 -5
64 18 10
64 6 1
64 47 5
65 7 -7
65 25 10
65 56 -9
65 38 -3
65 2 2
66 34 6
66 3 0
66 39 7
66 33 -6
66 37 -9
67 29 4
67 32 6
67 11 -7
67 52 -4
